ticker,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2014-05-31
PHOR,1216.9779315864062,1311.8701285377988,1314.750775081135,1308.6501660776573,1338.6226155440784,1474.6842948176543,1722.3761907197675,1992.0193083917056,2203.2283904134447,2084.178600851947,2018.195657937425,1979.6822094654315,2088.760973357244,2263.7538089893906,2809.718091727589,2817.9018287973727,2619.236225683467,2694.13855033195,2792.503421940724,2768.60388096595,2663.7085880460545,2845.3617831686,2817.1498261820366,2858.463485973613,2774.487220065904,2635.990990339098,2638.166179930419,2558.9190229133237,2381.0040019214807,2445.707962784667,2566.474905398789,2733.151678668256,2617.2192282080105,2389.8471460603123,2354.5481911544875,2442.415420649721,2268.568293550957,2364.634208414319,2399.0931575750756,2324.9177453371512,2330.729114089967,2478.2534651130795,2510.1142436305254,2516.492330226599,2424.3671150071696,2362.7221242620335,2400.709562737707,2482.7932252155206,2300.22560316989,2304.1672756926305,2371.300019449212,2611.9279916189957,2491.5364133218327,2510.099215298671,2500.388079323265,2554.3004644018065,2518.133094275895,2458.4819294978943,2376.03840036188,2346.7022907427095,2448.014248683017,2411.1649249681154,2467.4319960745433,2537.2161534678767,2475.5473637646414,2441.316932651021,2380.7691541940108,2453.6725076009534,2415.8636560632203,2309.0598034484215,2605.1863087855995,2737.171860310501,2727.9769290763466,2610.858092084352,2753.223206675068,2755.3319023240106,2822.5780612442354,3009.2946130943023,3107.6312264732483,3447.211790435337,3750.6640683775136,4023.9384847085676,4344.225276008183,4365.166758026302,4856.2516808236505,4743.328154274792,4653.360692695732,4943.511530218846,5631.7664491330615,5738.048209203842,5622.41765991969,5658.369261553501,5603.81907207604,7778.890155760288,7064.70734851235,7177.411115106025,7485.9904471558875,7458.50097382167,7606.306047511151,7478.945531308904,6033.139434209221,6444.981553318346,6294.494072299692,6407.17695696788,6656.730823689994,7167.572562232857,7258.581572052908,7116.700924365131,7456.304494218028,7356.473408732045,7542.267798922961,6988.122783360867,6784.366946171085,6778.760413421855,6681.791134264694,6740.604223396174,6795.099767941436,6706.084626908781,6708.135285557981,6582.493825122416,1177.4859540989733
PIKK,84.05269872624271,78.01613209702154,93.3054356443563,119.41638898424789,126.3379160272991,157.01677076639186,185.18041677435792,190.92623128693748,196.08702140419396,188.54814935403815,188.96477045883893,191.34092418609427,183.8115933064108,172.98388642305792,176.8353510945525,189.58020712318955,215.58711150309165,228.31288470279878,220.1956216028645,211.1669666791371,220.91639623140682,251.67736370414002,250.80534413798622,250.65872477338868,248.4802864863291,248.41618501334474,258.6959650721058,281.8950241032516,287.40221516390733,279.34492366399206,280.9953057953475,285.7977013532086,288.8339788153617,288.9236919494208,283.06771667457565,290.02160711754584,300.4681142633838,295.2323167671202,293.0502184738149,309.9277580770782,316.5240332115264,308.4142235873377,310.807500851191,313.95892723926204,311.39326251147673,319.0290090301687,310.2431190738616,315.0847183077307,332.52351851145914,338.87734778223097,353.5013612772058,345.92739774950337,348.38401625837514,352.2411463938696,360.1223433884005,365.40214874609603,354.9942224107248,353.25633195204966,361.9710252333221,373.9933931064088,369.65335849648056,380.284013244893,385.22073899269856,389.69288207762577,354.90312924661856,360.4206391648469,391.4716143426403,411.4608278539855,430.0874032407024,387.7197979208656,395.42136353417476,385.7175937021239,403.14151729863846,441.045554575825,496.7688958580536,555.422476726808,579.3593313125201,588.6389348561169,587.2852829137101,628.8470053253922,756.5104959036933,777.548310300816,946.3313202735593,971.6018361946241,1094.7687192554263,1061.2921778814286,1218.874553864616,1437.3437348066805,1228.5974710126504,1109.8278620003623,1079.5574588929867,1106.8430435137882,860.5616910364587,518.9712406570198,582.9561972744847,543.7958190287628,611.0724484461804,753.0495486298846,734.4154473855754,696.265615496346,591.8808662931993,616.1924909509876,597.4342396734676,607.045113450511,618.2561824796664,632.9884265632129,666.904799688293,658.994619632426,736.663399218525,770.8098188005682,822.5898217974362,778.6991955795237,744.5886951074494,711.3048566706574,669.035751154371,708.8608680970244,819.1298103683165,888.825628457574,867.8648521407785,844.2627761506413,85.15583119127584
PLZL,501.6887049017262,488.922817552015,491.62699915423053,497.69534675416105,477.0933747002722,536.1118418649214,1025.375188549734,1064.4520978030662,1095.3225721049444,1067.254462275645,1169.6101843123345,1628.6099459701504,1684.3502345444465,1787.1985794805428,2195.722446363359,2785.3822555399597,2808.83499196953,2698.3235766348507,2860.945082587404,3066.6017296125124,3270.6966915015314,3929.657902075017,4158.323071045897,4763.035765285406,4695.208600277187,4626.880102176657,4611.117717167552,4571.680637196906,4420.941542437671,4440.889248778563,4436.068749088676,4565.140734431069,4474.062607596952,4425.4497053058185,4397.315498800644,4402.137399907207,4293.580848945574,3946.106881014049,4228.172999356307,4601.047877777859,4643.8215601145075,4984.126918938355,4588.890866974153,4492.004426903459,4474.530439891249,4642.421544095793,3937.5141806439456,3931.7722924913837,3906.900138949565,4228.573231860583,4275.773793461509,4193.73922884277,4197.118434319585,4446.637640092229,5045.32923617212,5362.109046442396,5407.442149207901,5347.502023439206,5060.077950863385,5037.965497684316,5597.839623344947,6274.550147327436,7133.708341997364,7581.015587601658,7353.620080218829,7082.037342315739,6953.560039305541,7464.780505489846,8066.887968735452,9117.821135956487,11486.084304501315,11952.496417279743,10987.071794964639,13911.772095209668,17782.600546385005,16859.689854048163,16659.993055687646,15758.647281179685,14898.044911978039,15162.28233820153,14313.412810893034,14145.925750277958,14645.129182356766,14505.613108774443,14891.703782368777,14061.522649406117,13603.963848488696,12787.339175202842,13209.363876799503,14937.178905271909,13177.70855362782,12153.441630592608,12238.477582079195,11990.787996623418,13511.365508553852,13528.628149944509,10151.136568636388,8170.640562178269,7816.082966218059,7332.35288956202,5705.363750806426,6613.113308931441,7615.5488940451405,8232.245230134182,8999.500182473106,9242.558200772524,10049.065527651685,10449.813741742066,10636.872367834489,11201.969180803146,11587.822537212327,11478.353935746882,11633.811195009637,11261.423318061137,10490.262130530276,10973.414759059575,11071.226347390171,11598.151289159203,13690.521398194718,13402.44610159229,
POLY,318.6380220191442,329.6524507141436,320.1590688783784,313.9209415972566,318.62301635773275,401.17499602123365,505.8991058732877,580.747651855317,585.3156256618744,491.2626161021192,451.00409755730595,423.9650095008821,460.8720187089502,432.60983787759386,468.036263495286,535.1343736266437,565.408125203602,556.2419202639501,566.3915650896365,611.7268518653913,685.210324822239,694.621217374358,662.0154014377368,650.210633620414,821.5433632673709,919.0378548893657,972.1780843080014,864.0340246924181,682.7551391188824,663.3049378146414,603.7177133995862,673.8262299381071,707.0559748914557,696.5098795933374,747.7503199740975,736.1277222103229,698.5561425597704,690.3352696067863,716.8527499168999,653.0329731071494,672.1880830803141,700.872033285487,685.7898649270911,693.3236772188354,622.4450858703977,600.8905710117805,591.8772126012699,615.25553866401,556.7204281333455,553.6894294422585,560.196581098525,548.061860232225,578.8361823031184,646.8341443297912,703.9479862829962,734.1917165557431,744.4167809259677,741.1052285012568,691.7739258022932,674.3263455242443,741.8093848339676,788.2517315085295,866.1223018740992,927.8332468465011,956.0410859645142,978.7727299717708,974.7384106982497,1008.7928729636702,1065.2845951046722,1130.5998276003568,1432.0864876837875,1525.1162799325489,1317.5691907889363,1538.8967868424932,1924.5241191599223,1825.6395290346588,1734.5765725673155,1704.1770507708413,1668.3460319422863,1727.5623725524704,1635.8984642788444,1511.6449167448898,1592.4340059957474,1626.2019283714994,1670.8443737621617,1601.770784728618,1534.75257889028,1363.2036310326737,1299.105777395395,1386.857723296316,1280.4720877967923,1231.7773516815641,1106.5019831751115,923.4250718607544,856.0629449814157,708.2454158493238,470.9389271311218,313.99505877604867,333.73594191225465,351.74401219108654,270.04939872918357,324.1307068026519,373.3051703118053,410.80383425083113,495.50894419598376,537.4463909123477,642.1231789527859,637.2532210173785,552.8529044426408,567.589009446998,,527.235600095291,536.1021974787863,523.5810674401425,508.51128100839475,506.0894446258345,421.1154679099902,342.27825226546327,328.06056283415836,317.997015039051,318.4150723305415
POSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898.1125207253666,756.415312943967,662.3152182659327,958.286270873844,980.3627906322796,931.7877622379257,875.2914431083111,886.3217270957715,1121.019327991344,1215.1483382894146,1103.791972759656,1277.6553440265202,1256.0907537620785,1366.9715030097268,1565.2617273646651,1685.0857442600543,1715.4829125715355,1667.053140967319,1958.1857533679217,2077.2279415333314,2207.6181610446965,2343.5289589146887,2357.560614008098,2138.6219799364326,1992.1858486718472,2156.9770659750443,2242.2973257507338,2556.0681298651834,2898.2932815141526,2983.8992231815387,
QIWI,1439.7842010921281,1399.0239827452742,1369.6501819996365,1340.1750853313677,1201.8157465048978,1372.3315959689721,1284.4780690489113,1372.9227068610528,1462.3831995070527,1338.9595920234283,1378.8608655549945,1394.7888538257753,1590.611167834419,1601.3515984327744,1753.4485838059409,1293.7072003538176,1171.979226569332,1195.6432761251338,1275.0629692842629,1184.3951358710265,969.4738524790182,907.088156181716,988.3535232206431,735.5865761581186,864.5470251253821,805.3053603298182,845.4799635373312,982.2511164731899,888.3466142888967,847.3291527950756,790.0038087171928,754.3528133201847,839.253694772031,918.6371019389597,975.235021621459,1112.8209885206936,1391.2357392434583,1313.7317185816403,1075.6407580183027,990.3206661316739,979.2831537334823,976.486494802471,846.1010840303204,968.7754754254935,919.3305793079487,1015.8065551618789,1053.3429964371971,1137.8374454176028,1022.4882174459957,1015.965708334442,966.7413421953534,908.198663434312,828.3117771839143,920.7601725433558,957.4863893528457,980.0010588473099,992.2534846269266,928.040392576822,922.0269383562605,893.4707608194914,1207.2886716200408,1277.9324327574616,1407.246457340971,1513.8056321160464,1268.9633040763515,1241.6075967655304,1252.4975643612788,1206.7000449358266,1241.1919564980199,961.4715640613782,886.9496553900917,934.0927212530507,1075.6226859459457,1309.56896736644,1433.470204630316,1262.328965152113,1266.565134945618,1198.1596738284165,877.9797400138249,770.1970653250609,826.8108383326478,802.8390584319976,813.313086922853,787.6105704350869,791.0312086854611,765.3852738591061,707.597627977559,625.3654633327097,639.8765360419613,633.0316590042164,583.3457500837584,584.6071837527138,535.4044109868796,490.1936384595141,396.9881107608764,325.69688408543135,333.0194812914778,293.3256605720803,329.4832599998788,345.97041657104825,325.6413737118083,384.74460553620725,410.5930928009315,430.2882988324969,458.758492751809,481.4196505899554,561.7165389257868,585.2140585875067,667.6848644203487,640.643502617228,643.5992309742941,646.077453357233,630.5801752217527,582.0509181611615,513.0195387604708,567.6052638095706,415.22293025773627,226.48413810013798,196.9293033593976,215.150001937145,
RASP,20.34845039771124,19.00621662979972,18.361563075540545,18.251312844674672,16.53562443037773,21.0373539484013,24.194602171314976,26.173608865027216,35.413512474494226,43.94878910316926,39.50039441852502,36.825819855164504,36.49487649824597,35.45532353308827,38.4720212040429,39.497323855781026,37.56677876689691,36.22904592120576,31.42654762585175,26.805541262775876,25.575620144921146,25.27899737591665,26.966825885680485,29.06776427866049,26.22213523276104,29.469875207404627,37.02615606435258,48.518575741424435,60.57951136570486,70.65604889036764,75.45946594463315,87.1620828125233,86.33829127616691,72.94303170760962,71.31160163314547,72.00690191593,57.451213253292565,68.8926951437001,80.04873032817248,85.21108143447263,86.5360586292308,88.08724819363135,87.0520199275779,100.2555779217117,105.06126394097694,108.3593828875823,90.91952233183405,97.25747946795126,103.8161497431109,103.20693533790526,100.04505397687738,105.2885617534209,121.21431314782063,127.26727407353725,126.77244212057825,130.7952232784952,148.66223958287463,139.91387767639782,135.45156958553727,136.8705994767831,138.7203374762866,138.50544628965102,129.22770201479466,124.97716326291467,115.38712127316212,105.41265750700629,104.16089997348115,110.79409019177766,109.10332490778482,92.68330231655366,102.18186184702076,105.33713613495475,109.639270417639,108.12053118189384,113.86574289909434,116.63090997463883,116.29716884168275,137.81861304428705,151.00408869994823,158.23113999157698,178.3951892326221,183.83906145815578,213.23531330604936,238.88711660818555,239.74841238918324,244.77941003691205,293.065001092775,392.30209096510356,433.4478017517049,421.8221772107043,416.381903881655,440.4855114406655,428.29315402615225,393.15079824673734,391.6261667795635,391.1713475110584,308.0771358645543,269.7937146809031,296.7072994642529,281.8258942480016,217.04482800023288,235.36447443612698,226.2094385007272,237.67589738801584,253.48247500636316,272.0379897739879,285.6826865637283,277.3853460242675,288.85089992309634,310.1685017849575,362.3386186029866,347.321447064509,356.27887891171656,377.82935719299354,407.86262937137553,429.6209752125135,408.88916551571066,392.1555559517461,399.2413873167716,397.80848527502934,
ROSN,249.20721042049985,237.23666793526226,225.6951588713564,233.66844677852816,228.82447096510958,236.9956658252876,209.45168290721196,222.47709519029027,263.8477306290003,250.27016823742537,257.9603767722601,257.8086643458565,241.08204967531134,226.8586499420749,238.7978919366738,246.12057169056618,252.23840192984747,267.93434493752994,251.3469285002175,246.15361072131452,276.2611924169331,302.03207356240983,318.3623794172829,334.9289407987425,328.179607893121,330.3729261037656,337.5932125153792,356.02968842224874,348.71974954091667,343.4574399206542,383.0229222778126,393.9000560384644,369.1763058432518,321.7558766714706,324.3616162539753,313.15380236507406,312.2314062414171,318.06970210920747,306.9840222742191,314.6479624661348,319.6499920239315,311.67989440527515,294.4902760371811,327.73206186385494,331.90301071014,315.4738886650143,335.4877417246845,394.16494179728375,386.4145977182283,400.9913472953607,428.7346994089909,446.453902929026,472.64583270461213,436.8068274305305,422.0777035001239,420.5131135110049,406.69910327740456,401.93830805435476,429.4737258533744,421.1878326305082,419.0129939971178,421.57301142935916,407.3234440655006,420.68380086528094,418.2174019691894,451.5501444159207,449.074461117426,473.8887331816456,458.3541398542034,316.2819682306953,329.18828356948046,339.2924731945197,379.8691995863596,361.0156486094526,379.0019966274435,375.2262830837421,379.06343765065174,427.0656889053631,439.312788597442,484.4355371124444,504.4439405403593,560.4140072428233,544.9241663320648,538.2252541750066,549.0746081710862,562.8331767177768,546.6257129787888,572.6788473804849,638.0414444787839,610.6470982594454,574.5583277119798,581.1217136790273,519.0015787231878,376.75521146875593,404.86897549326534,398.5990624951431,375.0939902292518,344.20680608447975,344.7472240039666,337.72153051892946,303.5352948723511,340.34927313757487,341.20901427717035,348.55763260579886,348.60576914843244,369.55127145088676,393.83981996552205,382.95511998344557,472.1588538693027,484.9186709682488,538.0852198381104,546.9948701442801,565.6703199408362,584.3239464053731,571.2335236932212,584.0368628869027,582.0481599646039,573.3504040555139,579.2543995023804,581.9080228744526,
SBER,85.84910487446685,80.78354223573844,74.44515081406243,77.46733378313559,73.70594576427608,74.90486734673296,62.9701474418775,61.46068634803609,68.84588901678671,68.10735431002226,72.25220308484239,77.89478728065738,71.74096550691112,71.6106561468916,72.54669221013731,74.70301750542015,84.77048139036158,99.67319920631027,101.08521733315825,92.03270240743458,98.69084878696769,108.80950331977031,116.62866786831009,120.297407734379,132.7013840331341,136.34269746753148,139.32201802515303,149.62385171413055,148.80759711239475,151.8039208221718,169.76080905037065,170.43952198148986,167.46477809649036,161.3769432836907,159.12953695004953,166.4060231534701,147.37146480479325,158.410747921006,174.04100323419576,187.70753213807325,194.16813230450015,218.58164383138467,224.3433107395121,243.02381894378777,264.44556417309985,264.61441589280247,225.05237176665375,229.19749011990174,211.94430891204442,218.70441520679395,191.26726178522645,186.49393520352476,189.6934649138266,196.00898938727227,189.12008728695926,203.14475898306026,209.80255970393486,208.277370281228,230.9478757842718,229.90940291621294,240.22569723715432,237.22298702681857,220.76683891528864,230.6301758855816,232.21028388849479,237.84282884696017,241.57959042644794,259.7199247385109,250.77649595143828,198.88107298146463,192.27221630403844,195.46010861495913,209.30425627661936,213.18182977994292,231.30760849579795,225.46238320803357,208.4186164500184,236.30273198026157,271.8642039126525,275.9289268201908,268.68208823648735,284.822613786721,289.2216111674668,308.65341163577676,311.54684396000056,301.52586057292905,324.5892117357336,328.65058785181725,366.8672040274761,340.2810956132769,298.35687421790817,266.3253192898453,242.47943253726766,134.63103720607046,133.51586160206637,124.19273848939702,125.86269933878586,129.75891354174965,127.19197374854143,129.1072972172715,113.69009419676706,134.02830382541796,138.63857100723376,148.96061299615636,162.75293901203403,189.3626288149606,225.97337069704744,239.53121134415136,241.4073614319584,245.99155437265577,263.33319129585686,258.27118158494915,266.114812613431,278.9253008044109,267.8685672636642,275.17604244920085,285.34799768054086,297.10378793410655,307.1141056535643,307.9173326245631,82.60842113351116
SBERP,70.08704101157328,64.87286389943553,56.495976953106116,58.68543824400749,56.308526071440326,54.61486584818779,45.31672669254972,42.553152540349764,49.11443031073388,48.95285611787683,50.73742101364846,51.28404024386262,48.76240764464863,49.44350607823639,52.516359286504795,55.10072606529744,64.1822234128047,72.97610154375825,73.25564630774188,68.92455926717992,70.96756596482602,77.7722327217299,80.77536695320912,82.17616759676791,91.46351235092455,94.04985438815878,99.43374323980142,107.63994680743195,111.26871245739135,112.29860754210586,125.2155340853169,128.78017080964938,126.92926485678208,121.9312565456194,119.32304214842596,127.98079672099648,117.8656161922552,131.23370920731344,143.13269187809905,158.98040851156176,159.85923723024717,183.5462285493737,189.0771852521668,203.9355065721182,214.90550842675393,219.34392694258474,195.37164109724802,196.63373721243042,188.06652187384765,185.3547069420905,165.74356088559907,159.7835086271946,163.43427570315842,170.10716056854451,166.82473586200234,175.52657518368073,180.54069473829418,182.39143517456654,200.94916786203538,201.6176391408682,209.4723703763864,205.612187836157,193.23992050847858,203.02200962674908,206.02236987589723,215.74665919510977,218.95984907087083,231.9351987134408,229.48099295816868,187.56933948066361,176.53045544204716,179.04045722153037,192.24207421109116,196.3176106709194,214.99110436147635,217.44520456112906,198.65697759931018,218.4312451757377,243.55134391109033,249.32226883407756,247.02254155184778,260.28506298894166,273.253665314765,291.7034965467272,289.845035734779,280.5973460889059,302.075671950931,310.38686758440764,336.00139413651544,311.541531280849,279.9714441732253,255.66664858340314,232.12020921345504,136.18959119033215,138.35084785247915,125.48591544525836,120.13271892094497,123.74819539051192,121.77520327708464,123.10757415831978,109.12863413855409,128.65434989279106,135.4632564829027,147.67880766163472,161.30813764497114,188.5045418989842,225.6071846978998,238.86191305830098,238.86235068849723,244.12705775208502,262.809896552372,257.968643196628,265.80950278658054,278.17155907862514,267.66473944532,275.5036226044387,285.39952263409674,297.3733493792983,307.3729435255374,308.05015385829563,68.096689112196
