AFKS
AGRO
ALRS
ASTR
BANEP
BELU
CARM
CHMF
CIAN
CNYRUB
ETLN

FEES
FIVE
FLOT
GAZP
GCHE
GLTR
GMKN
HHRU
HYDR
IMOEX
IRAO
LKOH
LSNGP
LSRG
MAGN
MDMG
MGNT
MOEX
MTSS
NLMK
NVTK
OZON
PHOR
PIKK
PLZL
POLY
POSI
QIWI
RASP
ROSN
SBER
SBERP
SGZH
SIBN
SMLT
TATN
TATNP
TCSG
UPRO
VKCO
WUSH
YNDX
